作品编号,专家1,专家1评分,专家2,专家2评分,专家3,专家3评分
1,A1,30,A2,70,A3,40
2,A4,35,A5,22,A6,34
3,A7,30,A8,34,A9,43
4,A1,35,A2,73,A3,35
5,A4,38,A5,22,A6,38
6,A7,30,A8,32,A9,32
7,A1,35,A2,48,A3,35
8,A4,73,A5,59,A6,55
9,A7,45,A8,63,A9,40
10,A1,40,A2,78,A3,45
11,A5,44,A6,43,A7,84
12,A4,49,A8,56,A9,35
13,A1,30,A2,46,A3,35
14,A4,48,A5,62,A6,50
15,A7,37,A8,36,A9,35
16,A1,35,A2,73,A3,40
17,A4,47,A5,48,A6,36
18,A7,72,A8,47,A9,35
19,A1,30,A2,26,A3,30
20,A4,36,A5,25,A6,35
21,A7,42,A8,68,A9,35
22,A1,35,A2,42,A3,50
23,A4,45,A5,45,A6,52
24,A7,73,A8,58,A9,72
25,A1,25,A2,38,A3,35
26,A4,32,A5,26,A6,39
27,A7,74,A8,72,A9,45
28,A1,40,A2,47,A3,36
29,A4,30,A5,20,A6,39
30,A7,38,A8,38,A9,31
31,A1,35,A2,34,A3,45
32,A4,47,A5,28,A6,38
33,A7,42,A8,61,A9,40
34,A1,80,A2,45,A3,48
35,A5,30,A6,52,A7,41
36,A4,70,A8,45,A9,40
37,A1,70,A2,52,A3,50
38,A4,48,A5,28,A6,53
39,A8,35,A9,32,A1,30
40,A7,36,A2,42,A3,40
41,A4,35,A5,20,A6,39
42,A7,37,A8,59,A9,55
43,A1,40,A2,33,A3,50
44,A4,85,A5,30,A6,51
45,A7,38,A8,39,A9,45
46,A1,60,A2,38,A3,40
47,A4,42,A5,40,A6,60
48,A7,81,A8,81,A9,35
49,A1,35,A2,34,A3,78
50,A4,80,A5,46,A7,40
51,A8,55,A9,80,A1,70
52,A2,32,A3,35,A4,35
53,A6,20,A5,20,A7,21
54,A6,29,A8,31,A9,35
55,A1,35,A2,35,A3,45
56,A4,30,A5,21,A6,35
57,A7,37,A8,58,A9,35
58,A1,50,A2,36,A3,45
59,A4,46,A5,30,A6,55
60,A7,38,A8,38,A9,40
61,A1,35,A2,55,A3,40
62,A5,30,A6,56,A7,38
63,A4,81,A8,63,A9,44
64,A1,40,A2,76,A3,50
65,A4,50,A5,42,A6,50
66,A7,38,A8,50,A9,50
67,A1,40,A2,51,A3,79
68,A4,45,A5,47,A6,39
69,A7,82,A8,73,A9,72
70,A1,35,A2,47,A3,40
71,A4,32,A5,25,A6,48
72,A7,36,A8,39,A9,35
73,A1,70,A2,52,A3,50
74,A4,45,A5,20,A7,41
75,A8,40,A9,40,A1,30
76,A6,39,A2,25,A3,35
77,A4,40,A5,57,A6,70
78,A7,41,A8,64,A9,38
79,A1,50,A2,22,A3,81
80,A4,39,A5,25,A6,25
81,A7,71,A8,41,A9,52
82,A1,40,A2,58,A3,82
83,A5,54,A6,45,A7,41
84,A8,64,A9,80,A1,40
85,A2,50,A3,45,A5,54
86,A4,30,A6,30,A7,33
87,A4,36,A8,58,A9,35
88,A1,40,A2,54,A3,82
89,A4,30,A5,30,A6,35
90,A7,35,A8,34,A9,30
91,A1,50,A2,53,A3,50
92,A4,35,A5,42,A6,45
93,A7,83,A8,50,A9,55
94,A1,40,A2,42,A3,80
95,A4,30,A5,21,A6,39
96,A7,41,A8,48,A9,40
97,A1,30,A2,28,A3,34
98,A4,30,A5,15,A6,38
99,A7,25,A8,38,A9,30
100,A1,25,A2,20,A3,35
101,A4,33,A5,46,A6,35
102,A7,25,A8,32,A9,30
103,A1,35,A2,36,A3,34
104,A4,35,A5,30,A6,36
105,A7,64,A8,72,A9,85
106,A1,35,A2,42,A3,40
107,A4,31,A5,29,A6,30
108,A7,42,A8,49,A9,34
109,A1,35,A2,50,A3,40
110,A4,37,A5,76,A6,80
111,A7,38,A8,39,A9,76
112,A1,35,A2,46,A3,78
113,A4,33,A5,63,A6,50
114,A7,39,A8,37,A9,40
115,A1,40,A2,42,A3,50
116,A4,35,A5,31,A6,50
117,A7,41,A8,36,A9,35
118,A1,30,A2,45,A3,45
119,A4,72,A5,80,A6,38
120,A7,32,A8,33,A9,33
121,A1,50,A2,44,A3,36
122,A4,42,A5,31,A6,35
123,A7,43,A8,41,A9,38
124,A1,35,A2,40,A3,35
125,A4,37,A5,22,A6,34
126,A7,42,A8,76,A9,50
127,A1,80,A2,64,A3,50
128,A4,30,A5,46,A6,36
129,A7,36,A8,40,A9,37
130,A1,50,A2,61,A3,40
131,A4,41,A5,63,A6,80
132,A7,41,A8,75,A9,75
133,A1,30,A2,25,A3,35
134,A4,43,A5,30,A6,45
135,A7,44,A8,52,A9,38
136,A1,40,A2,40,A3,40
137,A4,35,A5,47,A6,85
138,A7,41,A8,50,A9,40
139,A1,80,A2,73,A3,45
140,A4,48,A5,42,A6,55
141,A7,31,A8,30,A9,32
142,A1,35,A2,38,A3,35
143,A4,35,A5,50,A6,49
144,A7,30,A8,37,A9,33
145,A1,60,A2,44,A3,40
146,A4,32,A5,24,A6,75
147,A7,32,A8,46,A9,47
148,A1,70,A2,46,A3,50
149,A4,35,A5,20,A6,70
150,A7,23,A8,29,A9,33
151,A1,20,A2,28,A3,30
152,A4,34,A5,42,A6,37
153,A7,39,A8,46,A9,35
154,A1,80,A2,50,A3,40
155,A4,31,A5,46,A6,60
156,A7,63,A9,72,A1,40
157,A8,55,A2,40,A3,35
158,A4,32,A5,20,A6,38
159,A7,37,A8,58,A9,32
160,A1,35,A2,42,A3,38
161,A4,83,A5,58,A6,70
162,A7,39,A8,40,A9,33
163,A1,25,A2,41,A3,35
164,A4,35,A5,20,A6,40
165,A7,32,A8,61,A9,32
166,A1,35,A2,45,A3,78
167,A4,39,A5,46,A6,48
168,A7,25,A8,36,A9,35
169,A1,30,A2,32,A3,35
170,A4,73,A5,64,A7,35
171,A8,29,A9,45,A1,30
172,A6,28,A2,28,A3,30
173,A4,35,A5,47,A6,40
174,A7,41,A8,48,A9,35
175,A1,35,A2,34,A3,45
176,A4,35,A6,53,A7,42
177,A5,74,A8,74,A9,72
178,A1,50,A2,43,A3,40
179,A4,33,A5,48,A6,36
180,A7,32,A8,30,A9,30
181,A1,35,A2,83,A3,76
182,A4,73,A5,42,A6,38
183,A7,41,A8,38,A9,35
184,A1,40,A2,58,A3,78
185,A4,47,A5,15,A6,25
186,A7,42,A8,74,A9,34
187,A1,35,A2,86,A3,45
188,A4,35,A5,42,A6,40
189,A7,35,A8,51,A9,33
190,A1,60,A2,82,A3,40
191,A4,32,A5,50,A6,36
192,A7,37,A8,36,A9,35
193,A1,30,A2,35,A3,30
194,A4,35,A5,46,A6,38
195,A7,39,A8,37,A9,36
196,A1,35,A2,43,A3,45
197,A4,33,A5,29,A6,56
198,A7,44,A8,43,A9,36
199,A1,50,A2,54,A3,50
200,A4,37,A5,29,A6,30
201,A7,25,A8,31,A1,25
202,A9,37,A2,45,A3,45
203,A4,30,A5,22,A6,30
204,A7,39,A8,57,A9,35
205,A1,70,A2,42,A3,40
206,A4,33,A5,21,A6,70
207,A7,37,A8,40,A9,42
208,A1,35,A2,41,A3,45
209,A4,38,A5,30,A6,63
210,A7,38,A8,36,A9,38
211,A1,50,A2,40,A3,50
212,A4,32,A5,25,A6,30
213,A7,44,A8,61,A9,36
214,A1,30,A2,45,A3,40
215,A4,36,A5,42,A6,59
216,A7,43,A8,73,A9,50
217,A1,40,A2,53,A3,35
218,A4,38,A5,20,A6,46
219,A8,49,A9,37,A1,35
220,A2,35,A3,40,A4,32
221,A7,30,A5,23,A6,48
222,A7,43,A8,38,A9,50
223,A1,35,A2,37,A3,35
224,A4,35,A5,52,A6,42
225,A7,20,A8,25,A9,33
226,A1,35,A2,38,A3,50
227,A4,40,A5,45,A6,75
228,A7,39,A8,70,A9,50
229,A1,60,A2,46,A3,45
230,A4,33,A5,42,A6,35
