作品编号,专家1,专家1评分,专家2,专家2评分,专家3,专家3评分
1,A1,60,A17,75,A6,60
2,A3,60,A14,57,A15,74
3,A7,85,A18,80,A19,81
4,A10,80,A11,80,A12,91
5,A1,65,A3,70,A17,76
6,A6,60,A14,55,A15,85
7,A7,60,A18,50,A19,40
8,A10,83,A11,75,A12,87
9,A1,65,A3,65,A17,78
10,A6,65,A14,70,A15,73
11,A7,70,A18,68,A19,66
12,A10,77,A11,60,A12,68
13,A1,55,A3,55,A17,70
14,A6,45,A14,62,A15,71
15,A7,65,A18,50,A19,46
16,A10,80,A11,65,A12,71
17,A1,65,A3,55,A17,76
18,A6,65,A14,50,A15,69
19,A7,68,A18,70,A19,47
20,A10,78,A11,60,A12,70
21,A1,50,A3,55,A17,75
22,A6,40,A14,50,A15,43
23,A7,63,A18,55,A19,55
24,A10,72,A11,50,A12,87
25,A1,55,A3,55,A17,73
26,A6,55,A14,50,A15,43
27,A7,60,A18,45,A19,30
28,A10,68,A11,45,A12,62
29,A1,65,A3,50,A17,75
30,A6,65,A14,76,A15,52
31,A7,80,A18,50,A19,42
32,A10,64,A11,70,A12,70
33,A1,60,A3,45,A6,50
34,A14,60,A15,82,A7,75
35,A18,50,A19,40,A10,66
36,A11,50,A12,66,A1,40
37,A3,55,A6,48,A14,50
38,A15,63,A7,65,A18,55
39,A19,42,A10,68,A11,75
40,A12,85,A1,55,A3,55
41,A6,40,A14,50,A15,33
42,A7,65,A18,35,A19,30
43,A17,57,A10,65,A11,55
44,A17,70,A12,69,A1,50
45,A17,60,A3,50,A6,40
46,A17,72,A14,50,A15,55
47,A7,67,A18,70,A19,45
48,A10,74,A11,55,A12,67
49,A1,70,A3,50,A17,69
50,A14,71,A15,46,A7,66
51,A18,50,A19,62,A10,80
52,A11,55,A12,70,A1,60
53,A6,45,A3,55,A17,68
54,A6,40,A14,60,A15,47
55,A7,75,A18,50,A19,52
56,A10,64,A11,50,A12,62
57,A1,60,A3,45,A17,72
58,A6,40,A14,50,A15,54
59,A7,80,A18,75,A19,67
60,A10,76,A11,40,A12,71
61,A1,80,A3,80,A17,61
62,A6,65,A14,66,A7,68
63,A18,68,A19,52,A10,76
64,A11,65,A12,85,A1,60
